"Iteration","Dst","Src","Score","method","scoretype"
"417",1,11,0,0.125284,"it","ahp"
"418",1,27,0,0.218704,"it","ahp"
"419",1,14,2,0.172922,"it","ahp"
"420",1,7,5,0.25912,"it","ahp"
"421",1,25,2,0.26508,"it","ahp"
"422",1,15,1,0.357082,"it","ahp"
"423",1,28,3,0.139344,"it","ahp"
"424",1,12,2,0.825,"it","it"
"425",1,9,5,1,"it","it"
"426",1,29,0,1,"it","it"
"427",1,30,0,1,"it","it"
"428",1,22,0,1,"it","it"
"429",1,18,0,1,"it","it"
"430",1,33,0,0.825,"it","it"
"431",1,6,1,1,"it","it"
"432",1,20,1,1,"it","it"
"433",1,26,2,0.825,"it","it"
"434",1,34,5,0.825,"it","it"
"435",1,21,1,0.963889,"it","it"
"436",1,19,1,0.85,"it","it"
"437",1,17,5,1,"it","it"
"438",1,31,0,0.889474,"it","it"
"439",1,16,0,1,"it","it"
"440",1,8,0,1,"it","it"
"441",1,24,5,0.954037,"it","it"
"442",1,32,2,0.825,"it","it"
"443",1,23,0,0.931579,"it","it"
"444",1,13,5,0.85,"it","it"
"445",1,10,0,1,"it","it"
"446",1,11,0,0.825,"it","it"
"447",1,27,0,0.85,"it","it"
"448",1,14,2,0.825,"it","it"
"449",1,7,5,1,"it","it"
"450",1,25,2,0.825,"it","it"
"451",1,15,1,0.85,"it","it"
"452",1,28,3,0.730943,"it","it"
"453",1,23,1,0.29351,"ahp","ahp"
"454",1,12,1,0.247083,"ahp","ahp"
"455",1,20,0,0.237854,"ahp","ahp"
"456",1,15,1,0.223633,"ahp","ahp"
"457",1,27,2,0.259571,"ahp","ahp"
"458",1,28,2,0.243761,"ahp","ahp"
"459",1,22,1,0.271485,"ahp","ahp"
"460",1,32,1,0.270826,"ahp","ahp"
"461",1,33,4,0.271714,"ahp","ahp"
"462",1,9,0,0.292424,"ahp","ahp"
"463",1,30,0,0.298184,"ahp","ahp"
"464",1,35,0,0.250524,"ahp","ahp"
"465",1,25,0,0.308823,"ahp","ahp"
"466",1,13,5,0.204984,"ahp","ahp"
"467",1,10,1,0.255082,"ahp","ahp"
"468",1,31,1,0.250917,"ahp","ahp"
"469",1,14,1,0.265596,"ahp","ahp"
"470",1,19,1,0.243394,"ahp","ahp"
"471",1,29,0,0.247934,"ahp","ahp"
"472",1,21,1,0.299428,"ahp","ahp"
"473",1,18,1,0.241907,"ahp","ahp"
"474",1,24,0,0.26612,"ahp","ahp"
"475",1,26,1,0.214858,"ahp","ahp"
"476",1,34,1,0.298721,"ahp","ahp"
"477",1,11,2,0.234597,"ahp","ahp"
"478",1,17,2,0.229025,"ahp","ahp"
"479",1,7,4,0.304797,"ahp","ahp"
"480",1,16,2,0.298941,"ahp","ahp"
"481",1,6,2,0.261601,"ahp","ahp"
"482",1,23,1,0.825,"ahp","it"
"483",1,12,1,0.825,"ahp","it"
"484",1,20,0,1,"ahp","it"
"485",1,15,1,0.825,"ahp","it"
"486",1,27,2,1,"ahp","it"
"487",1,28,2,1,"ahp","it"
"488",1,22,1,0.825,"ahp","it"
"489",1,32,1,0.825,"ahp","it"
"490",1,33,4,0.934,"ahp","it"
"491",1,9,0,1,"ahp","it"
"492",1,30,0,1,"ahp","it"
"493",1,35,0,1,"ahp","it"
"494",1,25,0,0.927277,"ahp","it"
"495",1,13,5,0.825,"ahp","it"
"496",1,10,1,0.728469,"ahp","it"
"497",1,31,1,0.825,"ahp","it"
"498",1,14,1,0.675,"ahp","it"
"499",1,19,1,0.675,"ahp","it"
"500",1,29,0,0.85,"ahp","it"
"501",1,21,1,0.825,"ahp","it"
"502",1,18,1,0.798529,"ahp","it"
"503",1,24,0,0.85,"ahp","it"
"504",1,26,1,0.675,"ahp","it"
"505",1,34,1,0.825,"ahp","it"
"506",1,11,2,0.825,"ahp","it"
"507",1,17,2,0.825,"ahp","it"
"508",1,7,4,0.934,"ahp","it"
"509",1,16,2,0.85,"ahp","it"
"510",1,6,2,0.85,"ahp","it"
"511",1,23,0,0.219005,"it","ahp"
"512",1,12,0,0.21249,"it","ahp"
"513",1,20,0,0.237854,"it","ahp"
