"Iteration","Dst","Src","Priority","Number","Percentage","run","method","users","speed"
"345",1,20,1,1,4,1,"14","ahp",30,"0"
"346",1,21,1,0,0,0.641667,"14","ahp",30,"0"
"347",1,22,1,0.7,2,0.85,"14","ahp",30,"0"
"348",1,23,1,0.3,2,0.7375,"14","ahp",30,"0"
"349",1,24,1,0.2,1,0.8125,"14","ahp",30,"0"
"350",1,25,1,0,0,0.675,"14","ahp",30,"0"
"351",1,26,2,0.4,2,0.933595,"14","ahp",30,"0"
"352",1,27,5,0,0,0.80775,"14","ahp",30,"0"
"353",1,28,1,0.7,2,0.85,"14","ahp",30,"0"
"354",1,29,1,0,0,0.720566,"14","ahp",30,"0"
"355",1,30,2,0,0,0.622263,"14","ahp",30,"0"
"356",1,31,2,0.4,2,0.95984,"14","ahp",30,"0"
"357",1,32,2,0.1,1,0.69236,"14","ahp",30,"0"
"358",1,33,1,0.6,2,0.92,"14","ahp",30,"0"
"359",1,34,2,0.1,1,0.697612,"14","ahp",30,"0"
"360",1,35,0,0,0,0.745936,"14","ahp",30,"0"
"361",1,6,5,0.1,1,0.759355,"15","it",30,"0"
"362",1,7,1,1,4,1,"15","it",30,"0"
"363",1,8,5,0.3,2,0.766667,"15","it",30,"0"
"364",1,9,3,1,4,1,"15","it",30,"0"
"365",1,10,1,1,4,1,"15","it",30,"0"
"366",1,11,1,0.3,2,0.825,"15","it",30,"0"
"367",1,12,1,0.3,2,0.7375,"15","it",30,"0"
"368",1,13,1,0.3,2,0.825,"15","it",30,"0"
"369",1,14,1,1,4,1,"15","it",30,"0"
"370",1,15,3,1,4,1,"15","it",30,"0"
"371",1,16,3,0.3,2,0.883333,"15","it",30,"0"
"372",1,17,1,0.3,2,0.766667,"15","it",30,"0"
"373",1,18,2,1,4,1,"15","it",30,"0"
"374",1,19,1,0.3,2,0.825,"15","it",30,"0"
"375",1,20,1,0.6,2,0.866667,"15","it",30,"0"
"376",1,21,0,0.3,2,0.7375,"15","it",30,"0"
"377",1,22,1,0.6,2,0.942857,"15","it",30,"0"
"378",1,23,1,1,4,1,"15","it",30,"0"
"379",1,24,2,0.3,2,0.825,"15","it",30,"0"
"380",1,25,0,0.3,2,0.9125,"15","it",30,"0"
"381",1,26,1,0.6,2,0.942857,"15","it",30,"0"
"382",1,27,2,0.4,1,0.821053,"15","it",30,"0"
"383",1,28,5,1,4,1,"15","it",30,"0"
"384",1,29,5,0.3,2,0.7375,"15","it",30,"0"
"385",1,30,5,0.3,2,0.766667,"15","it",30,"0"
"386",1,31,1,0.6,2,0.857143,"15","it",30,"0"
"387",1,32,2,0.3,2,0.766667,"15","it",30,"0"
"388",1,33,1,0.3,2,0.825,"15","it",30,"0"
"389",1,34,5,0.4,2,0.983408,"15","it",30,"0"
"390",1,35,4,1,4,1,"15","it",30,"0"
"391",1,6,1,0,0,0.616667,"15","ahp",30,"0"
"392",1,7,1,1,4,1,"15","ahp",30,"0"
"393",1,8,1,0.3,2,0.766667,"15","ahp",30,"0"
"394",1,9,3,1,4,1,"15","ahp",30,"0"
"395",1,10,1,1,4,1,"15","ahp",30,"0"
"396",1,11,1,0.3,2,0.825,"15","ahp",30,"0"
"397",1,12,1,0,0,0.623251,"15","ahp",30,"0"
"398",1,13,2,0.3,2,0.825,"15","ahp",30,"0"
"399",1,14,1,1,4,1,"15","ahp",30,"0"
"400",1,15,1,0.7,2,0.85,"15","ahp",30,"0"
"401",1,16,1,0.3,2,0.883333,"15","ahp",30,"0"
"402",1,17,1,0.3,2,0.766667,"15","ahp",30,"0"
"403",1,18,1,1,4,1,"15","ahp",30,"0"
"404",1,19,1,0.3,2,0.825,"15","ahp",30,"0"
"405",1,20,3,0.4,2,0.904253,"15","ahp",30,"0"
"406",1,21,1,0.3,2,0.7375,"15","ahp",30,"0"
"407",1,22,0,0.4,2,0.914446,"15","ahp",30,"0"
"408",1,23,1,0.7,2,0.892271,"15","ahp",30,"0"
"409",1,24,1,0.3,2,0.825,"15","ahp",30,"0"
"410",1,25,0,0.3,2,0.9125,"15","ahp",30,"0"
"411",1,26,5,0.4,2,0.896088,"15","ahp",30,"0"
"412",1,27,1,0.4,1,0.716667,"15","ahp",30,"0"
"413",1,28,4,0.4,2,0.940592,"15","ahp",30,"0"
"414",1,29,1,0,0,0.5875,"15","ahp",30,"0"
"415",1,30,1,0.2,1,0.666667,"15","ahp",30,"0"
"416",1,31,1,0.6,2,0.857143,"15","ahp",30,"0"
"417",1,32,1,0.3,2,0.766667,"15","ahp",30,"0"
"418",1,33,1,0.3,2,0.825,"15","ahp",30,"0"
"419",1,34,5,0.4,2,0.983408,"15","ahp",30,"0"
"420",1,35,1,0.7,2,0.85,"15","ahp",30,"0"
"421",1,6,1,1,4,1,"16","it",30,"0"
"422",1,7,1,0.2,1,0.588889,"16","it",30,"0"
"423",1,8,5,0.3,2,0.883333,"16","it",30,"0"
"424",1,9,5,1,4,1,"16","it",30,"0"
"425",1,10,2,0.1,1,0.780655,"16","it",30,"0"
"426",1,11,1,0.3,2,0.7375,"16","it",30,"0"
"427",1,12,1,0.6,2,0.88,"16","it",30,"0"
"428",1,13,2,0.3,2,0.883333,"16","it",30,"0"
"429",1,14,2,0.3,2,0.883333,"16","it",30,"0"
"430",1,15,0,0.4,2,0.896711,"16","it",30,"0"
"431",1,16,0,0.3,2,0.825,"16","it",30,"0"
"432",1,17,2,1,4,1,"16","it",30,"0"
"433",1,18,5,0.3,2,0.883333,"16","it",30,"0"
"434",1,19,3,1,4,1,"16","it",30,"0"
"435",1,20,1,1,4,1,"16","it",30,"0"
"436",1,21,2,0.3,2,0.825,"16","it",30,"0"
"437",1,22,2,1,4,1,"16","it",30,"0"
"438",1,23,2,0.1,1,0.765774,"16","it",30,"0"
"439",1,24,1,1,4,1,"16","it",30,"0"
"440",1,25,3,0.4,2,0.966724,"16","it",30,"0"
"441",1,26,1,1,4,1,"16","it",30,"0"
"442",1,27,1,0.2,1,0.783333,"16","it",30,"0"
"443",1,28,4,0.4,2,0.928751,"16","it",30,"0"
"444",1,29,2,0.2,1,0.725,"16","it",30,"0"
"445",1,30,1,0.2,1,0.725,"16","it",30,"0"
"446",1,31,4,1,4,1,"16","it",30,"0"
"447",1,32,4,0.4,2,0.895566,"16","it",30,"0"
"448",1,33,1,0.3,2,0.825,"16","it",30,"0"
"449",1,34,1,1,4,1,"16","it",30,"0"
"450",1,35,2,0.2,1,0.665,"16","it",30,"0"
"451",1,6,1,0.7,2,0.85,"16","ahp",30,"0"
"452",1,7,2,0,0,0.691974,"16","ahp",30,"0"
"453",1,8,5,0.3,2,0.883333,"16","ahp",30,"0"
"454",1,9,1,1,4,1,"16","ahp",30,"0"
"455",1,10,1,0,0,0.794213,"16","ahp",30,"0"
"456",1,11,2,0.1,1,0.698277,"16","ahp",30,"0"
