"Iteration","Dst","Src","Accuracy","Completeness","Timeliness","Reliability","run","method","users","speed"
"206",1,31,0,0.307692,0.179213,0.076017,0.19,"12","it",30,"0"
"207",1,32,2,0.25,0.2,0.1,0.1875,"12","it",30,"0"
"208",1,33,2,0.3,0.2,0.1,0.225,"12","it",30,"0"
"209",1,34,1,0.4,0.2,0.1,0.3,"12","it",30,"0"
"210",1,35,0,0.3,0.2,0.1,0.225,"12","it",30,"0"
"211",1,6,1,0.4,0.2,0.1,0.3,"12","ahp",30,"0"
"212",1,7,2,0.333333,0.2,0.1,0.25,"12","ahp",30,"0"
"213",1,8,3,0.35,0.2,0.1,0.2625,"12","ahp",30,"0"
"214",1,9,1,0.4,0.2,0.1,0.3,"12","ahp",30,"0"
"215",1,10,3,0.4,0.2,0.075,0.225,"12","ahp",30,"0"
"216",1,11,1,0.25,0.1,0.05,0.1875,"12","ahp",30,"0"
"217",1,12,1,0.4,0.2,0.08,0.24,"12","ahp",30,"0"
"218",1,13,1,0.35,0.1,0.05,0.2625,"12","ahp",30,"0"
"219",1,14,1,0.266667,0.1,0.05,0.2,"12","ahp",30,"0"
"220",1,15,1,0.35,0.1,0.05,0.2625,"12","ahp",30,"0"
"221",1,16,0,0.31855,0.159275,0.075,0.225,"12","ahp",30,"0"
"222",1,17,1,0.396481,0.098241,0.05,0.3,"12","ahp",30,"0"
"223",1,18,0,0.4,0.2,0.1,0.3,"12","ahp",30,"0"
"224",1,19,1,0.4,0.1,0.05,0.3,"12","ahp",30,"0"
"225",1,20,1,0.35,0.2,0.1,0.2625,"12","ahp",30,"0"
"226",1,21,1,0.4,0.1,0.05,0.3,"12","ahp",30,"0"
"227",1,22,3,0.262455,0.156227,0.1,0.2625,"12","ahp",30,"0"
"228",1,23,0,0.273777,0.170222,0.083333,0.2,"12","ahp",30,"0"
"229",1,24,1,0.4,0.1,0.05,0.3,"12","ahp",30,"0"
"230",1,25,1,0.4,0.1,0.05,0.3,"12","ahp",30,"0"
"231",1,26,1,0.25,0.159077,0.079538,0.1875,"12","ahp",30,"0"
"232",1,27,0,0.4,0.2,0.1,0.3,"12","ahp",30,"0"
"233",1,28,1,0.266667,0.1,0.05,0.2,"12","ahp",30,"0"
"234",1,29,0,0.4,0.2,0.1,0.3,"12","ahp",30,"0"
"235",1,30,0,0.346416,0.173208,0.1,0.3,"12","ahp",30,"0"
"236",1,31,0,0.307692,0.179213,0.076017,0.19,"12","ahp",30,"0"
"237",1,32,1,0.25,0.1,0.05,0.1875,"12","ahp",30,"0"
"238",1,33,1,0.3,0.2,0.1,0.225,"12","ahp",30,"0"
"239",1,34,1,0.4,0.1,0.05,0.3,"12","ahp",30,"0"
"240",1,35,0,0.3,0.2,0.1,0.225,"12","ahp",30,"0"
"241",1,6,2,0.37243,0.186215,0.1,0.3,"13","it",30,"0"
"242",1,7,2,0.4,0.2,0.1,0.3,"13","it",30,"0"
"243",1,8,2,0.4,0.2,0.1,0.3,"13","it",30,"0"
"244",1,9,1,0.25,0.2,0.1,0.1875,"13","it",30,"0"
"245",1,10,0,0.4,0.2,0.1,0.3,"13","it",30,"0"
"246",1,11,5,0.266667,0.2,0.1,0.2,"13","it",30,"0"
"247",1,12,1,0.239203,0.194601,0.1,0.1875,"13","it",30,"0"
"248",1,13,1,0.3,0.2,0.1,0.225,"13","it",30,"0"
"249",1,14,1,0.25,0.2,0.1,0.1875,"13","it",30,"0"
"250",1,15,1,0.4,0.2,0.1,0.3,"13","it",30,"0"
"251",1,16,2,0.3,0.2,0.1,0.225,"13","it",30,"0"
"252",1,17,1,0.3,0.2,0.061111,0.108333,"13","it",30,"0"
"253",1,18,1,0.4,0.2,0.1,0.3,"13","it",30,"0"
"254",1,19,1,0.266667,0.2,0.1,0.2,"13","it",30,"0"
"255",1,20,0,0.3,0.2,0.075,0.15,"13","it",30,"0"
"256",1,21,1,0.25,0.2,0.1,0.1875,"13","it",30,"0"
"257",1,22,0,0.4,0.2,0.1,0.3,"13","it",30,"0"
"258",1,23,1,0.25,0.2,0.1,0.1875,"13","it",30,"0"
"259",1,24,1,0.3,0.2,0.1,0.225,"13","it",30,"0"
"260",1,25,0,0.338973,0.169487,0.1,0.3,"13","it",30,"0"
"261",1,26,1,0.3,0.2,0.1,0.225,"13","it",30,"0"
"262",1,27,1,0.25,0.2,0.071429,0.101786,"13","it",30,"0"
"263",1,28,2,0.4,0.2,0.1,0.3,"13","it",30,"0"
"264",1,29,0,0.333333,0.2,0.1,0.25,"13","it",30,"0"
"265",1,30,2,0.25,0.2,0.1,0.1875,"13","it",30,"0"
"266",1,31,0,0.3,0.2,0.1,0.225,"13","it",30,"0"
"267",1,32,1,0.4,0.2,0.1,0.3,"13","it",30,"0"
"268",1,33,5,0.4,0.2,0.1,0.3,"13","it",30,"0"
"269",1,34,1,0.3,0.2,0.1,0.225,"13","it",30,"0"
"270",1,35,1,0.4,0.2,0.1,0.3,"13","it",30,"0"
"271",1,6,2,0.37243,0.186215,0.1,0.3,"13","ahp",30,"0"
"272",1,7,4,0.348824,0.174412,0.1,0.3,"13","ahp",30,"0"
"273",1,8,1,0.4,0.2,0.091667,0.275,"13","ahp",30,"0"
"274",1,9,0,0.228416,0.164208,0.1,0.225,"13","ahp",30,"0"
"275",1,10,1,0.3,0.2,0.1,0.225,"13","ahp",30,"0"
"276",1,11,2,0.266667,0.2,0.1,0.2,"13","ahp",30,"0"
"277",1,12,1,0.239203,0.194601,0.1,0.1875,"13","ahp",30,"0"
"278",1,13,1,0.3,0.2,0.1,0.225,"13","ahp",30,"0"
"279",1,14,1,0.25,0.2,0.1,0.1875,"13","ahp",30,"0"
"280",1,15,1,0.4,0.2,0.1,0.3,"13","ahp",30,"0"
"281",1,16,2,0.3,0.2,0.1,0.225,"13","ahp",30,"0"
"282",1,17,2,0.294301,0.197151,0.1,0.225,"13","ahp",30,"0"
"283",1,18,1,0.4,0.2,0.1,0.3,"13","ahp",30,"0"
"284",1,19,0,0.255858,0.14174,0.073572,0.2,"13","ahp",30,"0"
"285",1,20,0,0.3,0.2,0.075,0.15,"13","ahp",30,"0"
"286",1,21,1,0.25,0.2,0.1,0.1875,"13","ahp",30,"0"
"287",1,22,1,0.3,0.2,0.1,0.225,"13","ahp",30,"0"
"288",1,23,1,0.25,0.2,0.1,0.1875,"13","ahp",30,"0"
"289",1,24,0,0.366771,0.083385,0.05,0.3,"13","ahp",30,"0"
"290",1,25,0,0.338973,0.169487,0.1,0.3,"13","ahp",30,"0"
"291",1,26,1,0.3,0.2,0.1,0.225,"13","ahp",30,"0"
"292",1,27,2,0.280693,0.190346,0.0875,0.1875,"13","ahp",30,"0"
"293",1,28,2,0.4,0.2,0.1,0.3,"13","ahp",30,"0"
"294",1,29,0,0.333333,0.1,0.05,0.25,"13","ahp",30,"0"
"295",1,30,0,0.259061,0.179531,0.1,0.225,"13","ahp",30,"0"
"296",1,31,1,0.25,0.2,0.1,0.1875,"13","ahp",30,"0"
"297",1,32,1,0.4,0.2,0.1,0.3,"13","ahp",30,"0"
"298",1,33,4,0.380713,0.190357,0.1,0.3,"13","ahp",30,"0"
"299",1,34,1,0.3,0.2,0.1,0.225,"13","ahp",30,"0"
"300",1,35,0,0.399591,0.199795,0.1,0.3,"13","ahp",30,"0"
"301",1,6,1,0.4,0.2,0.1,0.3,"14","it",30,"0"
"302",1,7,5,0.3,0.2,0.1,0.225,"14","it",30,"0"
"303",1,8,1,0.4,0.2,0.1,0.3,"14","it",30,"0"
"304",1,9,1,0.266667,0.2,0.1,0.2,"14","it",30,"0"
"305",1,10,1,0.394528,0.197264,0.1,0.3,"14","it",30,"0"
"306",1,11,2,0.4,0.2,0.09,0.27,"14","it",30,"0"
"307",1,12,5,0.333333,0.2,0.083333,0.2,"14","it",30,"0"
"308",1,13,5,0.3,0.2,0.1,0.225,"14","it",30,"0"
"309",1,14,5,0.338001,0.169001,0.1,0.3,"14","it",30,"0"
"310",1,15,1,0.25,0.1,0.05,0.1875,"14","it",30,"0"
"311",1,16,1,0.4,0.2,0.1,0.3,"14","it",30,"0"
"312",1,17,5,0.322648,0.161324,0.1,0.3,"14","it",30,"0"
"313",1,18,3,0.25,0.2,0.1,0.1875,"14","it",30,"0"
"314",1,19,0,0.4,0.2,0.1,0.3,"14","it",30,"0"
"315",1,20,1,0.4,0.2,0.1,0.3,"14","it",30,"0"
"316",1,21,2,0.3,0.1,0.05,0.225,"14","it",30,"0"
"317",1,22,1,0.4,0.102235,0.051118,0.3,"14","it",30,"0"
"318",1,23,1,0.25,0.2,0.1,0.1875,"14","it",30,"0"
"319",1,24,1,0.35,0.2,0.075,0.1875,"14","it",30,"0"
"320",1,25,1,0.3,0.1,0.05,0.225,"14","it",30,"0"
"321",1,26,1,0.4,0.1,0.05,0.3,"14","it",30,"0"
"322",1,27,1,0.4,0.1,0.008333,0.175,"14","it",30,"0"
"323",1,28,1,0.4,0.2,0.1,0.3,"14","it",30,"0"
"324",1,29,2,0.3,0.169408,0.084704,0.225,"14","it",30,"0"
"325",1,30,1,0.3,0.1,0.05,0.225,"14","it",30,"0"
"326",1,31,1,0.4,0.2,0.1,0.3,"14","it",30,"0"
"327",1,32,2,0.217129,0.175231,0.1,0.2,"14","it",30,"0"
"328",1,33,2,0.4,0.2,0.0875,0.2625,"14","it",30,"0"
"329",1,34,2,0.223408,0.186704,0.1,0.1875,"14","it",30,"0"
"330",1,35,2,0.25,0.2,0.1,0.1875,"14","it",30,"0"
"331",1,6,1,0.4,0.2,0.1,0.3,"14","ahp",30,"0"
"332",1,7,2,0.3,0.2,0.1,0.225,"14","ahp",30,"0"
"333",1,8,1,0.4,0.2,0.1,0.3,"14","ahp",30,"0"
"334",1,9,1,0.266667,0.1,0.05,0.2,"14","ahp",30,"0"
"335",1,10,0,0.31382,0.15691,0.1,0.3,"14","ahp",30,"0"
"336",1,11,0,0.361307,0.180654,0.1,0.3,"14","ahp",30,"0"
"337",1,12,5,0.333333,0.2,0.083333,0.2,"14","ahp",30,"0"
"338",1,13,1,0.3,0.2,0.1,0.225,"14","ahp",30,"0"
"339",1,14,5,0.338001,0.169001,0.1,0.3,"14","ahp",30,"0"
"340",1,15,1,0.25,0.1,0.05,0.1875,"14","ahp",30,"0"
"341",1,16,0,0.332979,0.166489,0.1,0.3,"14","ahp",30,"0"
"342",1,17,5,0.322648,0.161324,0.1,0.3,"14","ahp",30,"0"
"343",1,18,1,0.35,0.1,0.016667,0.1625,"14","ahp",30,"0"
"344",1,19,5,0.4,0.2,0.1,0.3,"14","ahp",30,"0"
"345",1,20,1,0.4,0.2,0.1,0.3,"14","ahp",30,"0"
"346",1,21,1,0.3,0.1,0.041667,0.2,"14","ahp",30,"0"
"347",1,22,1,0.4,0.1,0.05,0.3,"14","ahp",30,"0"
"348",1,23,1,0.25,0.2,0.1,0.1875,"14","ahp",30,"0"
"349",1,24,1,0.35,0.2,0.075,0.1875,"14","ahp",30,"0"
"350",1,25,1,0.3,0.1,0.05,0.225,"14","ahp",30,"0"
"351",1,26,2,0.35573,0.177865,0.1,0.3,"14","ahp",30,"0"
"352",1,27,5,0.3385,0.16925,0.075,0.225,"14","ahp",30,"0"
"353",1,28,1,0.4,0.1,0.05,0.3,"14","ahp",30,"0"
"354",1,29,1,0.3,0.1526,0.067967,0.2,"14","ahp",30,"0"
"355",1,30,2,0.257743,0.08597,0.053549,0.225,"14","ahp",30,"0"
"356",1,31,2,0.373226,0.186613,0.1,0.3,"14","ahp",30,"0"
"357",1,32,2,0.217129,0.175231,0.1,0.2,"14","ahp",30,"0"
"358",1,33,1,0.4,0.2,0.08,0.24,"14","ahp",30,"0"
"359",1,34,2,0.223408,0.186704,0.1,0.1875,"14","ahp",30,"0"
"360",1,35,0,0.345624,0.197812,0.06,0.1425,"14","ahp",30,"0"
"361",1,6,5,0.261792,0.197563,0.1,0.2,"15","it",30,"0"
"362",1,7,1,0.4,0.2,0.1,0.3,"15","it",30,"0"
"363",1,8,5,0.266667,0.2,0.1,0.2,"15","it",30,"0"
"364",1,9,3,0.4,0.2,0.1,0.3,"15","it",30,"0"
"365",1,10,1,0.4,0.2,0.1,0.3,"15","it",30,"0"
