"Iteration","Dst","Src","BW","HC","PI","IU","run","method","users","speed"
"238",1,33,2,0.106562,6,1,7.2,"12","it",30,"0"
"239",1,34,1,0.170306,2,1,9.4,"12","it",30,"0"
"240",1,35,0,0.117482,1,2,5.5,"12","it",30,"0"
"241",1,6,2,0.082893,3,2,7.2,"13","ahp",30,"0"
"242",1,7,4,0.077034,1,4,3.9,"13","ahp",30,"0"
"243",1,8,1,0.285837,6,1,9.4,"13","ahp",30,"0"
"244",1,9,0,0.044175,1,2,5.5,"13","ahp",30,"0"
"245",1,10,1,0.2353,2,1,9.4,"13","ahp",30,"0"
"246",1,11,2,0.126678,3,1,7.2,"13","ahp",30,"0"
"247",1,12,1,0.158666,3,1,9.4,"13","ahp",30,"0"
"248",1,13,1,0.252162,7,1,9.4,"13","ahp",30,"0"
"249",1,14,1,0.032944,2,1,9.4,"13","ahp",30,"0"
"250",1,15,1,0.241557,6,1,9.4,"13","ahp",30,"0"
"251",1,16,2,0.027489,2,2,7.2,"13","ahp",30,"0"
"252",1,17,2,0.055069,2,1,7.2,"13","ahp",30,"0"
"253",1,18,1,0.175201,3,1,9.4,"13","ahp",30,"0"
"254",1,19,0,0.135464,2,1,5.5,"13","ahp",30,"0"
"255",1,20,0,0.280349,2,2,5.5,"13","ahp",30,"0"
"256",1,21,1,0.181958,1,1,9.4,"13","ahp",30,"0"
"257",1,22,1,0.023173,2,1,9.4,"13","ahp",30,"0"
"258",1,23,1,0.284261,1,1,9.4,"13","ahp",30,"0"
"259",1,24,0,0,1,2,5.5,"13","ahp",30,"0"
"260",1,25,0,0.158208,1,2,5.5,"13","ahp",30,"0"
"261",1,26,1,0.198187,4,1,9.4,"13","ahp",30,"0"
"262",1,27,2,0.04298,4,2,7.2,"13","ahp",30,"0"
"263",1,28,2,0.126927,3,2,7.2,"13","ahp",30,"0"
"264",1,29,0,0,2,2,5.5,"13","ahp",30,"0"
"265",1,30,0,0.122368,1,2,5.5,"13","ahp",30,"0"
"266",1,31,1,0.283744,3,1,9.4,"13","ahp",30,"0"
"267",1,32,1,0.204112,3,1,9.4,"13","ahp",30,"0"
